vixChange,netChange,prevChangeNF,prevChangeBNF,NFOIChange,BNFOIChange,basisChange,High
-3.45,19.0,0.54,0.19,5.06,1.43,-29.0,9504.18
-4.61,19.0,0.89,0.47,11.82,0.0,-39.0,9540.44
-4.24,19.0,1.36,1.5,8.16,-26.7,-37.0,9605.93
-3.39,20.0,0.5,0.0,5.43,2.51,-26.0,9506.19
-3.68,21.0,0.48,-0.03,4.99,1.84,-23.0,9508.62
-3.45,21.0,0.58,-0.05,7.25,1.01,-35.0,9511.08
-3.62,21.0,0.56,-0.01,7.18,-0.72,-36.0,9510.21
-4.55,21.0,0.93,0.53,11.66,-1.13,-37.0,9542.36
-4.95,21.0,1.06,0.7,12.26,-0.8,-48.0,9571.29
-5.6,21.0,1.37,1.23,12.11,-3.9,-37.0,9602.93
-4.78,21.0,0.97,0.54,12.22,-0.15,-41.0,9559.49
-4.16,21.0,1.63,2.28,9.8,-20.85,-47.0,9630.12
-4.3,21.0,1.46,1.79,9.09,-21.99,-37.0,9610.79
-4.47,21.0,1.72,2.27,11.01,-19.29,-34.0,9627.78
-4.44,21.0,1.72,2.39,11.22,-20.2,-38.0,9642.3
-5.66,22.0,1.37,1.14,12.43,-2.07,-44.0,9602.32
-4.55,23.0,0.64,0.36,8.05,0.82,-51.0,9516.47
-4.55,23.0,0.97,0.61,10.98,-1.45,-46.0,9546.29
-3.62,24.0,0.56,-0.12,6.16,3.47,-32.0,9522.79
-3.39,24.0,0.58,0.14,6.51,3.24,-28.0,9521.07
-3.7,24.0,0.6,0.21,5.21,1.86,-29.0,9511.18
-3.93,24.0,0.61,0.07,7.11,-1.18,-39.0,9515.91
-4.61,24.0,0.69,0.43,7.76,0.51,-48.0,9521.9
-4.55,24.0,0.98,0.63,10.08,-2.04,-53.0,9547.19
-4.1,25.0,0.61,0.08,7.31,-1.28,-40.0,9515.91
-3.68,25.0,0.67,0.12,5.97,3.6,-36.0,9531.7
-4.44,25.0,0.98,0.64,9.54,-1.58,-48.0,9547.19
-4.38,25.0,0.65,0.43,7.05,-0.02,-48.0,9516.75
-4.67,25.0,0.7,0.44,8.16,0.89,-50.0,9530.94
-4.64,25.0,0.74,0.38,8.39,0.1,-49.0,9526.75
-4.38,25.0,0.63,0.42,7.47,0.19,-47.0,9514.96
-4.67,25.0,0.68,0.34,8.3,0.55,-46.0,9531.2
-4.47,25.0,0.99,0.63,9.28,-1.52,-44.0,9547.75
-5.15,25.0,1.89,2.39,11.48,-5.29,-61.0,9652.87
-4.58,26.0,0.97,0.55,8.99,-0.67,-41.0,9545.63
-4.64,26.0,0.75,0.5,8.12,0.03,-49.0,9527.2
-4.67,26.0,1.01,0.56,8.59,-0.87,-44.0,9563.67
-4.58,26.0,0.68,0.46,7.59,0.43,-45.0,9519.84
-4.64,26.0,0.85,0.52,8.16,0.04,-59.0,9536.46
-3.99,27.0,0.59,0.21,7.13,-1.12,-42.0,9514.28
-4.69,27.0,0.96,0.51,7.93,-0.73,-46.0,9558.99
-4.36,27.0,0.65,0.45,7.17,0.03,-46.0,9516.75
-3.85,28.0,0.56,0.15,7.13,-1.12,-36.0,9508.43
-3.53,-10.0,0.4,-1.05,8.9,17.06,-10.0,9307.01
-3.81,-9.0,0.18,-1.5,10.93,22.41,-11.0,9299.2
-3.81,-7.0,0.31,-1.3,10.21,21.4,-14.0,9298.73
-3.81,-8.0,0.4,-1.04,10.1,20.36,-14.0,9309.59
-4.18,30.0,1.15,1.58,6.86,14.27,-18.0,9377.34
-3.83,-4.0,0.26,-1.26,11.0,20.45,-18.0,9311.44
-3.93,-7.0,0.25,-1.1,12.07,21.68,-21.0,9313.0
-4.26,-1.0,0.5,-0.75,11.66,21.18,-24.0,9330.37
-4.61,30.0,1.22,1.5,7.63,16.37,-25.0,9384.4
-4.73,26.0,1.38,1.61,8.13,18.88,-26.0,9409.44
-4.41,33.0,1.24,1.64,7.2,14.88,-26.0,9385.88
-3.88,-10.0,0.28,-0.98,12.22,21.9,-26.0,9316.2
-5.18,24.0,1.33,1.47,7.98,18.37,-27.0,9405.78
-4.96,30.0,1.3,1.53,7.71,16.8,-27.0,9402.84
-5.06,24.0,1.22,1.39,7.83,17.49,-28.0,9395.79
-5.01,27.0,1.27,1.52,7.71,17.34,-28.0,9399.83
-3.88,-9.0,0.35,-0.66,12.07,22.76,-28.0,9320.1
-5.01,21.0,1.19,1.32,7.84,17.94,-29.0,9392.16
-4.56,35.0,1.36,1.85,7.21,15.06,-29.0,9395.69
-4.51,24.0,1.32,1.5,8.18,19.2,-30.0,9389.89
-4.63,32.0,1.34,1.8,7.37,15.5,-31.0,9395.89
-4.66,31.0,1.27,1.61,7.52,15.76,-31.0,9400.12
-4.51,24.0,1.25,1.39,8.6,18.75,-32.0,9382.84
-3.96,-5.0,0.39,-0.65,12.27,22.12,-32.0,9321.75
-4.61,24.0,1.33,1.5,8.3,18.54,-34.0,9391.78
-5.06,9.0,1.0,0.69,11.62,23.26,-34.0,9373.5
-4.71,22.0,1.24,1.27,9.48,18.48,-36.0,9394.71
-4.46,27.0,1.27,1.39,9.08,19.07,-36.0,9384.9
-4.48,14.0,1.06,0.95,9.56,18.95,-36.0,9365.53
-4.76,24.0,1.34,1.51,9.42,18.66,-36.0,9404.75
-4.88,11.0,1.02,0.86,11.45,23.09,-38.0,9377.55
-5.26,9.0,1.03,0.79,11.51,23.14,-40.0,9379.89
-4.18,-1.0,0.7,-0.09,12.04,22.99,-40.0,9350.15
-4.41,10.0,0.9,0.77,10.46,21.69,-42.0,9352.97
-3.61,-3.0,0.61,-0.23,11.88,22.62,-42.0,9342.88
-5.01,9.0,1.0,0.65,11.54,23.08,-33.0,9372.85
-5.18,13.0,1.15,1.07,11.41,22.89,-33.0,9387.57
-4.78,31.0,1.36,1.66,8.28,18.58,-35.0,9408.39
-4.51,27.0,1.31,1.41,9.08,19.07,-35.0,9388.93
-4.71,3.0,0.74,-0.06,11.06,20.69,-35.0,9349.45
-3.66,-4.0,0.6,-0.21,11.82,22.53,-35.0,9341.63
-3.43,-4.0,0.57,-0.22,11.67,22.78,-37.0,9339.95
-4.61,11.0,0.85,0.65,10.86,22.54,-39.0,9347.74
-4.83,18.0,1.16,1.08,9.77,20.09,-39.0,9391.14
-4.21,2.0,0.61,-0.21,11.75,20.66,-39.0,9342.33
-4.76,4.0,0.75,0.09,11.34,22.72,-39.0,9352.37
-4.56,13.0,0.95,0.85,9.91,20.48,-41.0,9358.0
-4.98,11.0,0.96,0.76,11.12,22.82,-41.0,9372.11
-5.18,10.0,0.96,0.77,11.5,22.84,-43.0,9373.69
-4.56,17.0,1.08,1.02,9.7,19.62,-43.0,9369.33
-4.21,7.0,0.68,-0.08,12.53,21.16,-43.0,9337.02
-4.36,7.0,0.8,0.17,11.76,20.94,-45.0,9342.28
-0.18,37.0,2.35,4.58,20.63,13.2,18.0,9518.11
-0.21,36.0,2.33,4.7,20.34,12.73,-5.0,9509.17
-0.18,38.0,2.29,4.62,18.25,14.4,5.0,9504.88
-0.18,38.0,2.23,4.47,17.68,13.72,19.0,9499.6
0.08,35.0,2.33,4.65,20.5,11.76,-2.0,9502.71
-0.31,38.0,2.38,4.76,17.64,13.73,5.0,9522.37
-0.03,36.0,2.46,4.74,20.18,11.38,7.0,9526.02
0.08,38.0,2.3,4.65,20.78,13.28,20.0,9502.78
0.05,37.0,2.31,4.55,20.29,12.14,-2.0,9508.8
0.29,37.0,1.9,3.86,17.54,14.61,4.0,9465.92
0.47,36.0,1.86,3.45,18.31,15.21,9.0,9461.89
0.42,37.0,1.9,3.72,18.04,15.65,4.0,9465.97
0.03,38.0,2.25,4.62,18.17,14.44,9.0,9507.72
0.34,36.0,2.23,4.15,18.74,13.18,13.0,9493.76
0.03,38.0,2.3,4.6,18.23,14.09,7.0,9512.31
-0.13,38.0,2.32,4.69,18.37,14.25,5.0,9507.86
0.44,36.0,1.99,3.54,18.56,14.76,8.0,9473.99
0.13,37.0,2.2,3.99,18.56,13.49,17.0,9473.99
-0.13,38.0,2.57,4.99,18.4,10.83,20.0,9535.75
0.42,38.0,2.38,4.93,18.07,10.35,9.0,9515.11
0.18,37.0,2.42,5.17,17.81,9.52,-2.0,9518.43
0.63,33.0,2.16,4.8,17.1,8.52,0.0,9486.51
0.5,37.0,2.4,4.83,18.22,10.68,16.0,9516.03
0.37,36.0,2.23,4.75,17.42,9.44,0.0,9493.08
1.2,33.0,1.88,4.22,17.38,9.22,-8.0,9464.03
0.34,36.0,2.27,4.87,17.88,9.62,9.0,9497.11
0.71,37.0,2.31,4.59,18.12,10.66,5.0,9501.67
0.58,35.0,2.23,4.97,17.32,9.46,9.0,9494.21
-0.03,38.0,2.52,5.04,18.29,10.93,10.0,9531.47
0.18,38.0,2.47,5.1,17.37,9.47,0.0,9523.23
0.0,36.0,2.41,4.79,18.46,11.09,2.0,9520.9
1.52,34.0,2.16,4.47,17.73,8.97,-2.0,9486.56
0.34,38.0,2.25,4.32,18.96,13.44,9.0,9498.69
0.44,37.0,2.38,4.77,18.33,8.23,12.0,9513.06
0.89,36.0,2.09,4.29,18.02,7.83,0.0,9481.3
0.52,36.0,2.2,4.24,17.85,12.87,17.0,9489.62
0.31,38.0,2.31,4.49,18.12,13.09,5.0,9504.18
0.42,39.0,2.41,4.84,18.02,8.78,23.0,9515.35
1.05,34.0,2.08,4.15,17.76,8.03,8.0,9478.9
0.58,39.0,2.48,4.97,18.24,8.27,10.0,9525.26
0.26,38.0,2.32,4.66,18.41,8.02,7.0,9501.4
0.44,27.0,2.33,1.23,47.11,44.7,-91.0,9852.62
0.86,28.0,2.3,1.27,48.13,43.63,-61.0,9847.67
0.83,28.0,2.87,1.51,53.54,47.96,-161.0,9911.11
0.41,28.0,2.71,1.36,55.74,47.83,-160.0,9900.67
0.92,29.0,2.41,2.29,44.47,39.44,-44.0,9866.01
0.83,29.0,2.33,2.1,44.06,40.2,-22.0,9847.47
0.68,29.0,2.91,1.66,51.74,47.46,-151.0,9913.99
0.15,30.0,2.77,1.92,47.1,43.61,-134.0,9905.06
0.18,30.0,2.83,1.69,49.59,45.71,-122.0,9911.2
0.59,31.0,2.53,2.4,44.22,39.9,-35.0,9875.07
0.71,31.0,2.5,2.44,45.48,40.8,-57.0,9875.05
0.71,31.0,2.42,1.61,47.82,42.97,-64.0,9867.19
0.65,31.0,2.4,2.23,44.81,39.47,-44.0,9865.58
0.47,31.0,2.33,1.7,46.81,41.7,-56.0,9854.21
-0.92,32.0,2.88,2.9,40.64,36.27,-6.0,9891.39
0.41,32.0,2.43,2.13,46.5,41.27,-70.0,9873.05
0.18,32.0,2.37,1.77,47.36,41.31,-60.0,9867.06
0.41,33.0,2.61,2.65,45.34,39.72,-53.0,9890.13
0.62,33.0,2.7,2.66,45.01,40.08,-61.0,9893.88
0.68,33.0,2.43,2.23,45.91,41.25,-53.0,9868.05
0.5,33.0,2.45,1.77,47.81,42.23,-56.0,9869.96
-0.3,33.0,2.49,1.88,47.66,42.06,-68.0,9882.86
-0.83,35.0,3.06,3.3,40.24,36.38,-9.0,9953.2
1.41,33.0,2.05,4.23,17.85,8.51,2.0,9475.72
1.33,35.0,2.17,4.53,18.22,8.27,4.0,9488.51
1.86,31.0,2.04,4.16,16.73,7.24,-4.0,9474.76
1.75,31.0,1.8,3.91,17.68,7.73,-4.0,9452.54
1.62,32.0,2.09,4.32,17.0,7.77,-2.0,9479.2
1.47,34.0,2.1,4.47,18.23,9.08,10.0,9480.66
1.2,34.0,2.16,4.48,17.76,9.12,0.0,9485.7
