vixChange,netChange,prevChangeNF,prevChangeBNF,NFOIChange,BNFOIChange,basisChange,High
-2.33,34.0,1.85,3.1,8.33,3.53,33.0,9357.07
-2.35,34.0,1.79,3.09,8.63,-5.2,36.0,9364.25
-2.86,36.0,2.21,3.12,3.44,5.67,9.0,9395.53
-3.02,36.0,2.28,3.11,2.19,5.06,26.0,9402.04
-2.74,36.0,2.23,3.11,4.2,7.17,19.0,9394.65
-2.76,36.0,2.35,3.27,3.69,6.75,29.0,9438.14
-2.81,36.0,2.24,3.11,3.84,6.75,23.0,9395.65
-1.66,36.0,2.1,3.08,7.04,8.01,29.0,9382.12
-2.79,33.0,2.15,3.09,2.42,4.78,15.0,9390.12
-2.84,33.0,2.15,3.06,2.37,4.83,19.0,9390.72
-2.84,35.0,2.24,3.15,3.01,4.88,21.0,9412.15
-2.45,39.0,2.43,3.54,6.22,7.76,28.0,9444.58
-2.56,39.0,2.45,3.68,6.43,8.94,35.0,9447.38
-0.29,-23.0,-1.15,-2.35,13.64,18.28,-32.0,9225.41
-0.24,-24.0,-1.29,-2.38,13.14,18.33,-22.0,9213.52
0.32,-29.0,-1.61,-3.04,13.58,18.37,-23.0,9182.77
-0.03,-24.0,-1.37,-2.59,13.85,18.3,-23.0,9209.96
0.45,-29.0,-1.65,-3.28,13.86,17.96,-21.0,9171.37
-0.39,-24.0,-1.16,-2.3,13.35,18.45,-27.0,9226.13
0.13,-23.0,-1.25,-2.68,13.58,17.05,-34.0,9224.21
0.37,-27.0,-1.33,-2.92,13.74,18.05,-27.0,9209.1
-4.04,9.0,0.03,0.56,9.0,18.07,0.0,9264.74
-3.21,10.0,0.05,0.54,9.65,19.92,0.0,9261.81
-4.27,16.0,0.29,1.25,8.21,17.85,-1.0,9283.54
-3.94,16.0,0.37,1.27,8.43,17.08,-2.0,9292.88
-4.33,19.0,0.26,1.02,8.58,18.45,1.0,9280.69
-4.49,19.0,0.27,1.12,8.52,18.84,1.0,9281.71
-4.29,20.0,0.5,1.67,8.81,17.95,3.0,9304.65
-4.77,21.0,0.38,1.34,9.56,20.34,0.0,9310.98
-4.29,22.0,0.9,1.41,8.86,19.49,9.0,9346.33
-5.34,22.0,0.66,2.07,7.45,16.53,6.0,9348.36
-5.32,22.0,0.51,1.57,8.52,17.68,-1.0,9327.76
-4.84,23.0,0.88,1.68,9.54,18.83,7.0,9366.03
-5.07,23.0,0.67,1.98,8.43,17.08,7.0,9348.86
-4.2,24.0,0.99,1.53,5.39,17.94,16.0,9355.26
-4.24,24.0,1.01,1.32,8.63,19.32,12.0,9356.62
-4.59,24.0,0.85,2.02,8.68,17.43,7.0,9342.57
-5.0,24.0,1.07,2.05,9.64,18.89,14.0,9382.01
-5.55,24.0,0.78,2.19,5.9,16.85,6.0,9364.69
-4.49,25.0,1.16,2.02,8.05,19.37,7.0,9371.54
-4.06,26.0,1.27,1.79,8.17,19.18,19.0,9380.79
-5.04,26.0,0.84,1.09,7.41,15.91,6.0,9363.97
-4.17,26.0,1.22,1.71,8.17,19.53,12.0,9376.73
-4.91,26.0,0.95,2.03,9.37,18.15,7.0,9372.08
-4.79,26.0,1.18,1.98,8.62,19.2,13.0,9391.38
-5.53,26.0,0.77,2.31,5.84,15.75,4.0,9359.07
-4.75,27.0,1.35,2.12,5.9,18.0,20.0,9411.26
-4.47,27.0,1.43,2.3,7.43,17.9,25.0,9394.27
-4.43,27.0,1.47,2.2,7.07,17.22,30.0,9397.94
-5.04,27.0,1.72,2.64,6.27,17.65,39.0,9445.39
-4.43,27.0,1.52,2.35,7.79,18.96,30.0,9402.42
-4.54,27.0,1.23,1.83,5.75,18.46,22.0,9355.26
-4.88,27.0,1.24,2.29,8.56,19.17,12.0,9396.92
-4.61,27.0,1.13,2.07,8.54,19.02,7.0,9369.66
-4.88,27.0,1.29,2.31,8.6,19.0,17.0,9401.06
-5.55,27.0,0.8,2.39,5.73,14.42,4.0,9362.1
-4.1,28.0,1.39,2.17,8.16,19.35,24.0,9392.82
-4.47,28.0,1.36,2.23,7.23,18.38,26.0,9389.66
-4.68,28.0,1.26,2.03,8.77,20.19,7.0,9402.32
-5.3,28.0,1.23,2.6,9.07,17.81,15.0,9399.05
-5.07,28.0,1.16,2.42,8.72,17.39,12.0,9391.89
-4.61,29.0,1.1,1.72,8.95,20.25,3.0,9363.39
-4.93,29.0,1.3,2.35,8.53,19.87,7.0,9406.81
-5.25,29.0,1.46,2.82,9.61,18.27,23.0,9418.12
-4.84,30.0,1.32,2.28,8.6,19.56,8.0,9408.43
-5.09,31.0,1.13,1.52,7.33,16.9,17.0,9389.48
-5.0,31.0,1.31,1.99,6.9,16.89,29.0,9406.46
-5.14,38.0,1.47,2.56,7.46,16.85,19.0,9421.48
-4.75,33.0,1.27,2.2,7.61,16.78,25.0,9400.76
-4.68,33.0,1.47,2.41,8.65,19.83,15.0,9419.51
-4.54,33.0,1.39,2.19,8.93,20.19,7.0,9395.5
-0.81,13.0,-0.27,-2.1,3.96,7.32,0.0,9275.57
-1.2,14.0,-0.08,-1.98,3.66,7.25,0.0,9294.99
-1.04,15.0,-0.03,-1.91,4.11,4.01,-1.0,9298.62
-0.73,15.0,-0.2,-1.94,4.25,7.23,0.0,9283.22
-1.15,16.0,-0.05,-1.86,4.3,5.55,0.0,9297.96
-1.35,16.0,-0.02,-1.86,4.3,5.55,0.0,9300.73
-2.24,16.0,0.16,-1.79,3.88,8.9,1.0,9310.16
-1.82,17.0,0.2,-1.64,3.02,7.56,1.0,9319.58
-2.19,17.0,0.25,-1.74,4.21,7.59,2.0,9319.22
-2.45,18.0,0.46,-1.51,4.34,6.99,4.0,9332.52
-2.11,20.0,0.38,-1.59,4.18,7.84,3.0,9331.99
-2.55,23.0,0.58,-1.22,4.44,7.61,7.0,9343.94
-2.63,26.0,0.89,-0.59,4.01,8.07,11.0,9373.16
-1.64,27.0,1.45,0.37,6.97,2.94,19.0,9423.97
-1.82,27.0,0.83,-0.41,3.3,6.46,10.0,9370.7
-1.74,27.0,0.82,-0.46,4.44,5.75,11.0,9368.21
-1.93,27.0,0.9,-0.25,4.79,5.35,8.0,9376.27
-1.82,27.0,0.89,-0.28,3.38,6.7,12.0,9374.55
-2.0,27.0,0.87,-0.3,4.4,5.42,7.0,9373.45
-2.55,27.0,0.96,-0.52,3.93,7.84,13.0,9375.21
-2.06,28.0,1.71,1.19,7.26,3.13,28.0,9446.67
-1.93,28.0,0.9,-0.41,2.58,7.34,12.0,9376.46
-1.95,29.0,1.51,0.4,7.43,2.59,25.0,9431.89
-2.6,29.0,0.9,-0.55,3.76,7.5,11.0,9374.62
-2.53,29.0,0.96,-0.3,3.89,7.66,12.0,9375.36
-1.93,30.0,1.3,0.26,5.31,4.54,23.0,9407.33
-1.8,30.0,0.95,-0.16,3.43,7.32,11.0,9380.08
-1.93,30.0,0.83,-0.34,3.0,7.63,11.0,9368.69
-2.32,31.0,1.75,1.33,7.17,3.27,27.0,9447.98
-1.56,31.0,0.85,-0.29,3.41,7.11,9.0,9372.02
-1.67,31.0,0.88,-0.23,3.42,6.89,10.0,9373.62
-2.08,31.0,1.29,0.23,5.14,4.72,26.0,9406.43
-2.0,31.0,1.05,0.08,2.51,7.0,14.0,9389.07
-1.51,31.0,0.84,-0.31,3.53,7.09,10.0,9365.83
-2.55,32.0,1.2,0.12,2.6,7.1,22.0,9396.69
