vixChange,netChange,prevChangeNF,prevChangeBNF,NFOIChange,BNFOIChange,basisChange,Low
-2.79,33.0,2.15,3.09,2.42,4.78,15.0,9308.87
-2.84,35.0,2.24,3.15,3.01,4.88,21.0,9320.58
-2.45,39.0,2.43,3.54,6.22,7.76,28.0,9342.43
-2.56,39.0,2.45,3.68,6.43,8.94,35.0,9346.05
-0.03,36.0,2.46,4.74,20.18,11.38,7.0,9423.51
-0.18,38.0,2.29,4.62,18.25,14.4,5.0,9417.08
0.08,35.0,2.33,4.65,20.5,11.76,-2.0,9413.98
0.05,37.0,2.31,4.55,20.29,12.14,-2.0,9418.59
-0.31,38.0,2.38,4.76,17.64,13.73,5.0,9424.63
-0.18,38.0,2.23,4.47,17.68,13.72,19.0,9401.5
-0.21,36.0,2.33,4.7,20.34,12.73,-5.0,9420.93
-0.18,37.0,2.35,4.58,20.63,13.2,18.0,9412.48
0.08,38.0,2.3,4.65,20.78,13.28,20.0,9401.83
-4.04,9.0,0.03,0.56,9.0,18.07,0.0,9188.22
-3.21,10.0,0.05,0.54,9.65,19.92,0.0,9185.56
-3.94,16.0,0.37,1.27,8.43,17.08,-2.0,9222.49
-4.27,16.0,0.29,1.25,8.21,17.85,-1.0,9215.6
-4.49,19.0,0.27,1.12,8.52,18.84,1.0,9218.54
-4.33,19.0,0.26,1.02,8.58,18.45,1.0,9217.64
-4.29,20.0,0.5,1.67,8.81,17.95,3.0,9244.65
-4.77,21.0,0.38,1.34,9.56,20.34,0.0,9235.27
-4.29,22.0,0.9,1.41,8.86,19.49,9.0,9272.02
-5.34,22.0,0.66,2.07,7.45,16.53,6.0,9269.97
-5.32,22.0,0.51,1.57,8.52,17.68,-1.0,9255.91
-4.84,23.0,0.88,1.68,9.54,18.83,7.0,9285.32
-5.07,23.0,0.67,1.98,8.43,17.08,7.0,9270.62
-4.2,24.0,0.99,1.53,5.39,17.94,16.0,9284.47
-4.24,24.0,1.01,1.32,8.63,19.32,12.0,9284.4
-5.0,24.0,1.07,2.05,9.64,18.89,14.0,9297.41
-4.59,24.0,0.85,2.02,8.68,17.43,7.0,9281.88
-5.55,24.0,0.78,2.19,5.9,16.85,6.0,9281.17
-4.49,25.0,1.16,2.02,8.05,19.37,7.0,9307.14
-4.17,26.0,1.22,1.71,8.17,19.53,12.0,9305.3
-4.06,26.0,1.27,1.79,8.17,19.18,19.0,9309.26
-5.04,26.0,0.84,1.09,7.41,15.91,6.0,9284.86
-4.79,26.0,1.18,1.98,8.62,19.2,13.0,9305.98
-4.91,26.0,0.95,2.03,9.37,18.15,7.0,9292.76
-5.53,26.0,0.77,2.31,5.84,15.75,4.0,9287.22
-4.43,27.0,1.52,2.35,7.79,18.96,30.0,9337.45
-4.75,27.0,1.35,2.12,5.9,18.0,20.0,9320.82
-4.43,27.0,1.47,2.2,7.07,17.22,30.0,9329.77
-4.47,27.0,1.43,2.3,7.43,17.9,25.0,9329.36
-5.04,27.0,1.72,2.64,6.27,17.65,39.0,9363.03
-4.54,27.0,1.23,1.83,5.75,18.46,22.0,9284.47
-4.61,27.0,1.13,2.07,8.54,19.02,7.0,9307.16
-4.88,27.0,1.24,2.29,8.56,19.17,12.0,9317.42
-4.88,27.0,1.29,2.31,8.6,19.0,17.0,9320.34
-5.55,27.0,0.8,2.39,5.73,14.42,4.0,9290.22
-4.1,28.0,1.39,2.17,8.16,19.35,24.0,9322.88
-4.47,28.0,1.36,2.23,7.23,18.38,26.0,9320.63
-4.68,28.0,1.26,2.03,8.77,20.19,7.0,9318.47
-5.3,28.0,1.23,2.6,9.07,17.81,15.0,9321.71
-5.07,28.0,1.16,2.42,8.72,17.39,12.0,9311.92
-4.93,29.0,1.3,2.35,8.53,19.87,7.0,9329.1
-4.61,29.0,1.1,1.72,8.95,20.25,3.0,9305.17
-5.25,29.0,1.46,2.82,9.61,18.27,23.0,9338.63
-4.84,30.0,1.32,2.28,8.6,19.56,8.0,9328.46
-5.09,31.0,1.13,1.52,7.33,16.9,17.0,9304.44
-5.0,31.0,1.31,1.99,6.9,16.89,29.0,9317.08
-5.14,38.0,1.47,2.56,7.46,16.85,19.0,9334.58
-4.75,33.0,1.27,2.2,7.61,16.78,25.0,9313.92
-4.68,33.0,1.47,2.41,8.65,19.83,15.0,9334.65
-4.54,33.0,1.39,2.19,8.93,20.19,7.0,9330.69
-0.21,6.0,0.17,0.11,11.09,15.18,-4.0,9210.63
0.08,-5.0,-0.19,-0.45,10.9,15.6,-13.0,9172.39
0.11,-7.0,-0.09,-0.45,11.21,15.86,-12.0,9182.97
0.47,-4.0,-0.36,-0.82,10.13,10.6,-20.0,9143.08
-0.05,9.0,0.14,0.08,10.23,14.84,-7.0,9207.52
0.58,-2.0,-0.12,-0.35,9.86,9.09,-11.0,9170.77
0.66,2.0,-0.04,-0.08,10.72,14.38,-13.0,9183.05
-0.05,-5.0,-0.09,-0.35,11.4,15.99,-9.0,9186.12
0.68,-8.0,-0.39,-0.88,10.04,13.95,-20.0,9145.73
1.2,33.0,1.88,4.22,17.38,9.22,-8.0,9367.16
0.18,38.0,2.47,5.1,17.37,9.47,0.0,9423.31
0.34,36.0,2.27,4.87,17.88,9.62,9.0,9396.21
0.5,37.0,2.4,4.83,18.22,10.68,16.0,9407.02
0.0,36.0,2.41,4.79,18.46,11.09,2.0,9421.78
0.18,37.0,2.42,5.17,17.81,9.52,-2.0,9418.99
0.37,36.0,2.23,4.75,17.42,9.44,0.0,9399.95
0.63,33.0,2.16,4.8,17.1,8.52,0.0,9392.24
-0.13,38.0,2.57,4.99,18.4,10.83,20.0,9428.58
0.71,37.0,2.31,4.59,18.12,10.66,5.0,9401.44
0.58,35.0,2.23,4.97,17.32,9.46,9.0,9388.49
0.42,38.0,2.38,4.93,18.07,10.35,9.0,9407.53
-0.03,38.0,2.52,5.04,18.29,10.93,10.0,9424.56
-0.05,-22.0,-1.16,-2.21,13.21,17.97,-21.0,9068.56
0.21,-22.0,-1.2,-2.59,14.37,22.62,-16.0,9057.07
-0.24,-24.0,-1.29,-2.38,13.14,18.33,-22.0,9048.25
0.71,-33.0,-1.82,-3.33,13.43,21.43,-30.0,8991.57
-0.16,-22.0,-1.11,-2.35,13.3,19.36,-22.0,9071.79
0.26,38.0,2.32,4.66,18.41,8.02,7.0,9405.8
0.58,39.0,2.48,4.97,18.24,8.27,10.0,9413.99
1.52,34.0,2.16,4.47,17.73,8.97,-2.0,9394.1
0.34,38.0,2.25,4.32,18.96,13.44,9.0,9398.04
0.89,36.0,2.09,4.29,18.02,7.83,0.0,9384.17
0.31,38.0,2.31,4.49,18.12,13.09,5.0,9411.46
0.44,37.0,2.38,4.77,18.33,8.23,12.0,9408.2
0.52,36.0,2.2,4.24,17.85,12.87,17.0,9389.39
0.42,39.0,2.41,4.84,18.02,8.78,23.0,9409.93
1.05,34.0,2.08,4.15,17.76,8.03,8.0,9383.54
1.75,31.0,1.8,3.91,17.68,7.73,-4.0,9358.67
1.86,31.0,2.04,4.16,16.73,7.24,-4.0,9380.67
1.47,34.0,2.1,4.47,18.23,9.08,10.0,9380.12
1.2,34.0,2.16,4.48,17.76,9.12,0.0,9392.83
1.62,32.0,2.09,4.32,17.0,7.77,-2.0,9386.81
1.41,33.0,2.05,4.23,17.85,8.51,2.0,9382.95
1.33,35.0,2.17,4.53,18.22,8.27,4.0,9388.75
-1.05,0.0,-0.14,1.09,4.64,12.8,0.0,9251.22
-0.71,-9.0,-0.3,0.8,4.98,12.07,2.0,9231.89
-1.24,-8.0,-0.25,0.86,5.19,16.58,2.0,9239.39
-1.6,1.0,-0.08,1.14,5.57,18.92,-2.0,9260.74
-0.97,-5.0,-0.19,1.01,5.06,14.52,-2.0,9247.57
-4.63,9.0,0.75,2.48,12.0,34.43,-2.0,9349.42
-4.73,7.0,0.66,2.36,12.8,33.69,-2.0,9341.96
-4.68,5.0,0.63,2.38,12.42,34.15,-2.0,9336.66
-6.39,12.0,1.06,2.74,12.31,24.94,-2.0,9390.87
-5.42,10.0,0.76,2.53,11.23,33.08,-2.0,9355.6
-5.97,12.0,0.97,2.55,12.05,26.09,-2.0,9377.13
-6.76,11.0,1.05,2.74,11.41,23.14,3.0,9390.1
-7.26,10.0,1.08,2.73,10.33,21.47,3.0,9394.85
-6.55,10.0,0.97,2.6,11.54,24.28,3.0,9382.41
-1.74,-1.0,0.04,1.3,5.71,20.04,-3.0,9270.9
-3.63,1.0,0.12,1.44,7.67,29.89,-3.0,9277.94
-4.07,5.0,0.43,2.18,10.94,35.96,-3.0,9311.03
-5.31,10.0,0.86,2.62,10.48,33.35,-3.0,9366.87
-5.21,9.0,0.81,2.6,10.87,33.02,-3.0,9359.28
-5.81,6.0,0.67,2.24,11.97,27.09,-3.0,9343.24
-5.76,7.0,0.67,2.27,12.18,26.52,-3.0,9347.55
-1.45,-3.0,-0.04,1.16,5.46,17.55,-4.0,9264.62
-2.0,2.0,0.0,1.46,6.18,24.85,-4.0,9269.11
-2.16,3.0,0.1,1.47,5.81,24.68,-4.0,9276.04
-1.18,-1.0,-0.03,1.13,4.98,15.29,-4.0,9264.99
-1.71,0.0,-0.01,1.22,5.54,19.88,-4.0,9267.56
-3.42,5.0,0.03,1.41,9.18,27.06,-4.0,9270.89
-2.13,3.0,0.07,1.51,6.19,27.2,-4.0,9273.0
-2.42,3.0,0.14,1.58,6.32,27.81,-4.0,9280.59
-3.68,1.0,0.14,1.44,7.38,29.85,-4.0,9279.88
-4.94,8.0,0.71,2.4,10.39,33.55,-4.0,9348.96
-2.21,5.0,0.14,1.51,5.15,23.4,-5.0,9277.53
-2.08,3.0,0.21,1.52,5.48,22.58,-5.0,9284.54
-2.16,6.0,0.14,1.59,6.31,25.06,-5.0,9277.02
-3.81,3.0,0.21,1.46,7.38,29.85,-5.0,9290.0
-4.55,9.0,0.7,2.46,11.8,34.99,-5.0,9344.35
-1.89,1.0,0.19,1.48,5.49,20.58,-6.0,9283.92
-2.76,6.0,0.17,1.65,6.58,27.94,-6.0,9280.38
-3.73,5.0,0.32,1.7,6.66,28.69,-6.0,9295.43
-2.26,7.0,0.16,1.65,6.22,27.02,-6.0,9277.88
-4.28,10.0,0.78,2.52,10.88,35.26,-6.0,9348.35
-3.63,4.0,0.31,1.67,6.86,30.04,-7.0,9293.29
-4.23,11.0,0.63,2.33,11.39,35.69,-7.0,9335.31
-4.05,8.0,0.49,1.96,9.16,32.38,-7.0,9317.86
-5.42,8.0,0.8,2.6,11.31,32.1,-7.0,9358.09
-4.13,5.0,0.44,1.68,9.28,30.32,-10.0,9308.79
-3.92,5.0,0.22,1.44,9.13,28.37,-10.0,9288.44
-4.23,11.0,0.65,2.43,10.52,35.77,-10.0,9336.85
-4.1,8.0,0.65,2.32,9.87,34.53,-10.0,9337.52
-0.66,-3.0,-0.2,0.94,4.9,13.2,1.0,9244.23
-5.76,11.0,0.85,2.48,11.66,29.88,1.0,9364.59
-1.34,-5.0,-0.16,0.97,5.34,16.95,-1.0,9251.95
-3.36,-1.0,-0.01,1.31,7.95,29.33,-1.0,9267.11
-5.94,12.0,0.92,2.51,12.42,25.91,-1.0,9371.14
0.47,36.0,1.86,3.45,18.31,15.21,9.0,9362.25
0.29,37.0,1.9,3.86,17.54,14.61,4.0,9374.96
0.42,37.0,1.9,3.72,18.04,15.65,4.0,9375.01
0.03,38.0,2.3,4.6,18.23,14.09,7.0,9416.61
0.34,36.0,2.23,4.15,18.74,13.18,13.0,9395.03
0.13,37.0,2.2,3.99,18.56,13.49,17.0,9382.17
-0.13,38.0,2.32,4.69,18.37,14.25,5.0,9418.11
0.03,38.0,2.25,4.62,18.17,14.44,9.0,9404.09
0.44,36.0,1.99,3.54,18.56,14.76,8.0,9382.17
